foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q4792148,Arlene Foster,Q215519,Democratic Unionist Party,8745,Q28231972,2017 Assembly election,1
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,9385,Q28231972,2017 Assembly election,2
,Q28867959,Jemma Dolan,Q76382,Sinn Féin,8928,Q28231972,2017 Assembly election,3
,Q24052788,Rosemary Barton,Q841045,Ulster Unionist Party,8442,Q28231972,2017 Assembly election,4
,Q7441173,Seán Lynch,Q76382,Sinn Féin,7717,Q28231972,2017 Assembly election,5
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,7411,Q28231972,2017 Assembly election,6
,Q24083697,Richie McPhillips,Q175443,Social Democratic and Labour Party,6276,Q28231972,2017 Assembly election,7
Q98270778,,Noreen Campbell,Q244927,Alliance Party of Northern Ireland,1437,Q28231972,2017 Assembly election,8
,,Alex Elliott,Q985076,Traditional Unionist Voice,780,Q28231972,2017 Assembly election,9
,,Donal Ó Cófaigh,Q24083594,Cross-Community Labour Alternative,643,Q28231972,2017 Assembly election,10
Q98270789,,Tanya Jones,Q1096979,Green Party in Northern Ireland,550,Q28231972,2017 Assembly election,11
,,Richard Dunn,Q7058484,Northern Ireland Conservatives,70,Q28231972,2017 Assembly election,12
,Q4792148,Arlene Foster,Q215519,Democratic Unionist Party,8801,Q16973450,2016 Assembly election,1
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,8072.85,Q16973450,2016 Assembly election,2
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,6838.37,Q16973450,2016 Assembly election,3
,Q24052788,Rosemary Barton,Q841045,Ulster Unionist Party,7659.94,Q16973450,2016 Assembly election,4
,Q7441173,Seán Lynch,Q76382,Sinn Féin,6565.81,Q16973450,2016 Assembly election,5
,Q24083697,Richie McPhillips,Q175443,Social Democratic and Labour Party,6107.23,Q16973450,2016 Assembly election,6
,,John Feely,Q76382,Sinn Féin,5590.37,Q16973450,2016 Assembly election,7
,Q22956582,Alastair Patterson,Q841045,Ulster Unionist Party,4207.18,Q16973450,2016 Assembly election,8
,Q7181885,Phil Flanagan,Q76382,Sinn Féin,3510.97,Q16973450,2016 Assembly election,9
,,Donald Crawford,Q985076,Traditional Unionist Voice,1381.95,Q16973450,2016 Assembly election,10
Q98270789,,Tanya Jones,Q1096979,Green Party in Northern Ireland,919.73,Q16973450,2016 Assembly election,11
,,Kerri Blyberg,Q244927,Alliance Party of Northern Ireland,552.91,Q16973450,2016 Assembly election,12
,,Damien Harris,Q20642359,Northern Ireland Labour Representation Committee,290.37,Q16973450,2016 Assembly election,13
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,9110,Q7058474,2011 Assembly Election,1
,Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,6896,Q7058474,2011 Assembly Election,2
,Q4792148,Arlene Foster,Q215519,Democratic Unionist Party,6876,Q7058474,2011 Assembly Election,3
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,7229.24,Q7058474,2011 Assembly Election,4
,Q7441173,Seán Lynch,Q76382,Sinn Féin,6476.04,Q7058474,2011 Assembly Election,5
,Q7181885,Phil Flanagan,Q76382,Sinn Féin,6136.72,Q7058474,2011 Assembly Election,6
,Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,6074.74,Q7058474,2011 Assembly Election,7
,,Kenny Donaldson,Q841045,Ulster Unionist Party,3200.64,Q7058474,2011 Assembly Election,8
,,Alex Elliott,Q985076,Traditional Unionist Voice,1249.78,Q7058474,2011 Assembly Election,9
,,Pat Cox,Q327591,Independent (politician),1104.78,Q7058474,2011 Assembly Election,10
Q98270763,,Hannah Su,Q244927,Alliance Party of Northern Ireland,871.78,Q7058474,2011 Assembly Election,11
,Q4792148,Arlene Foster,Q215519,Democratic Unionist Party,7138,Q2562399,2007 Assembly Election,1
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,7026,Q2562399,2007 Assembly Election,2
,Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,6680.42,Q2562399,2007 Assembly Election,3
,Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,6640,Q2562399,2007 Assembly Election,4
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,7013.57,Q2562399,2007 Assembly Election,5
,Q16190807,Gerry McHugh,Q76382,Sinn Féin,5776.64,Q2562399,2007 Assembly Election,6
,Q7441173,Seán Lynch,Q76382,Sinn Féin,5188.38,Q2562399,2007 Assembly Election,7
,,Kenny Donaldson,Q841045,Ulster Unionist Party,2887.01,Q2562399,2007 Assembly Election,8
,,Vincent Currie,Q175443,Social Democratic and Labour Party,2260.76,Q2562399,2007 Assembly Election,9
,Q15054228,Gerry McGeough,Q16847164,Independent Republican (Ireland),826.80,Q2562399,2007 Assembly Election,10
,,Allan Leonard,Q244927,Alliance Party of Northern Ireland,535.94,Q2562399,2007 Assembly Election,11
,,Michael McManus,Q174406,Republican Sinn Féin,432.40,Q2562399,2007 Assembly Election,12
,Q7347473,Robert McCartney,Q985706,UK Unionist Party,395,Q2562399,2007 Assembly Election,13
,Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,7372,Q2076187,2003 Assembly Election,1
,Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,7359.95,Q2076187,2003 Assembly Election,2
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,6719,Q2076187,2003 Assembly Election,3
,Q4792148,Arlene Foster,Q841045,Ulster Unionist Party,6599.51,Q2076187,2003 Assembly Election,4
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,8669.91,Q2076187,2003 Assembly Election,5
,Q7817099,Tom O'Reilly,Q76382,Sinn Féin,5473.64,Q2076187,2003 Assembly Election,6
,Q16190807,Gerry McHugh,Q76382,Sinn Féin,5211.50,Q2076187,2003 Assembly Election,7
,,Bert Johnston,Q215519,Democratic Unionist Party,3162.81,Q2076187,2003 Assembly Election,8
,,Frank Britton,Q175443,Social Democratic and Labour Party,3011.75,Q2076187,2003 Assembly Election,9
,,Robert Mulligan,Q841045,Ulster Unionist Party,2149,Q2076187,2003 Assembly Election,10
,,Eithne McNulty,Q7058538,Northern Ireland Women's Coalition,650,Q2076187,2003 Assembly Election,11
,,Linda Cleland,Q244927,Alliance Party of Northern Ireland,243,Q2076187,2003 Assembly Election,12
,Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,8135,Q2076208,1998 Assembly Election,1
,Q7407480,Sam Foster,Q841045,Ulster Unionist Party,7494.90,Q2076208,1998 Assembly Election,2
,Q16190807,Gerry McHugh,Q76382,Sinn Féin,9096.50,Q2076208,1998 Assembly Election,3
,Q337970,Michelle Gildernew,Q76382,Sinn Féin,8501.55,Q2076208,1998 Assembly Election,4
,Q1911383,Maurice Morrow,Q215519,Democratic Unionist Party,6627.06,Q2076208,1998 Assembly Election,5
,Q6204929,Joan Carson,Q841045,Ulster Unionist Party,6582.32,Q2076208,1998 Assembly Election,6
,,Jim Dixon,Q985706,UK Unionist Party,5000.84,Q2076208,1998 Assembly Election,7
,,Olive Mullen,Q175443,Social Democratic and Labour Party,4548.38,Q2076208,1998 Assembly Election,8
,,Pat Treanor,Q76382,Sinn Féin,3711.30,Q2076208,1998 Assembly Election,9
,,Bert Johnston,Q215519,Democratic Unionist Party,3309.20,Q2076208,1998 Assembly Election,10
,,Bertie Kerr,Q841045,Ulster Unionist Party,2720,Q2076208,1998 Assembly Election,11
,,Marie Crawley,Q7058538,Northern Ireland Women's Coalition,2071.30,Q2076208,1998 Assembly Election,12
,Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,614,Q2076208,1998 Assembly Election,13
Q98270786,,Simeon Gillan,Q491782,Natural Law Party,63,Q2076208,1998 Assembly Election,14
,Q2042604,Owen Carron,Q76382,Sinn Féin,14025,Q11918778,1982 Assembly election,1
,Q1738633,Ken Maginnis,Q841045,Ulster Unionist Party,10117,Q11918778,1982 Assembly election,2
,Q7298774,Raymond Ferguson,Q841045,Ulster Unionist Party,9921,Q11918778,1982 Assembly election,3
,Q3545632,Austin Currie,Q175443,Social Democratic and Labour Party,12402,Q11918778,1982 Assembly election,4
,Q6096240,Ivan Foster,Q215519,Democratic Unionist Party,8145,Q11918778,1982 Assembly election,5
,Q5479812,Francie Molloy,Q76382,Sinn Féin,7603,Q11918778,1982 Assembly election,6
,,Joseph Maguire,Q175443,Social Democratic and Labour Party,5202,Q11918778,1982 Assembly election,7
,,Bert Johnston,Q215519,Democratic Unionist Party,3559,Q11918778,1982 Assembly election,8
,,Cecil Noble,Q841045,Ulster Unionist Party,2970,Q11918778,1982 Assembly election,9
,,Fergus McQuillan,Q175443,Social Democratic and Labour Party,2634,Q11918778,1982 Assembly election,10
,Q5392752,Ernest Baird,Q7893627,United Ulster Unionist Party,2050,Q11918778,1982 Assembly election,11
Q98272290,,Tommy Owens,Q1860218,Workers' Party of Ireland,1724,Q11918778,1982 Assembly election,12
Q98270771,,John Haslett,Q244927,Alliance Party of Northern Ireland,1177,Q11918778,1982 Assembly election,13
,Q11682348,Harry West,Q841045,Ulster Unionist Party,12922,Q7058486,1975 Constitutional Convention,1
,Q3545632,Austin Currie,Q175443,Social Democratic and Labour Party,9984,Q7058486,1975 Constitutional Convention,2
,Q5392752,Ernie Baird,Q3896802,Vanguard Progressive Unionist Party,9706.28,Q7058486,1975 Constitutional Convention,3
,Q16864053,Thomas Daly,Q175443,Social Democratic and Labour Party,9322.95,Q7058486,1975 Constitutional Convention,4
,Q27915236,John McKay,Q841045,Ulster Unionist Party,9836.48,Q7058486,1975 Constitutional Convention,5
,,Thomas Murray,Q175443,Social Democratic and Labour Party,5123.19,Q7058486,1975 Constitutional Convention,6
,Q5232104,David Calvert,Q215519,Democratic Unionist Party,4496.77,Q7058486,1975 Constitutional Convention,7
,,Bill Barbour,Q244927,Alliance Party of Northern Ireland,2261.51,Q7058486,1975 Constitutional Convention,8
,,Eugene Lyttle,Q1860218,Republican Clubs,1594.83,Q7058486,1975 Constitutional Convention,9
,,George Cathcart,Q7886826,Unionist Party of Northern Ireland,1392.60,Q7058486,1975 Constitutional Convention,10
,Q3545632,Austin Currie,Q175443,Social Democratic and Labour Party,11016,Q7058471,1973 Assembly election,1
,Q5392752,Ernest Baird,Q3896802,Vanguard Progressive Unionist Party,10081.56,Q7058471,1973 Assembly election,2
,Q333991,John Taylor,Q841045,Ulster Unionist Party,9779.80,Q7058471,1973 Assembly election,3
,Q16864053,Thomas Daly,Q175443,Social Democratic and Labour Party,9360.50,Q7058471,1973 Assembly election,4
,Q11682348,Harry West,Q841045,Ulster Unionist Party,9084.44,Q7058471,1973 Assembly election,5
,,David McQuillan,Q175443,Social Democratic and Labour Party,5175.92,Q7058471,1973 Assembly election,6
,,James McQuaid,Q1860218,Republican Clubs,3561.40,Q7058471,1973 Assembly election,7
,,Jack Hassard,Q327591,Independent (politician),3076.86,Q7058471,1973 Assembly election,8
,,Patrick Reimill,Q244927,Alliance Party of Northern Ireland,2070.90,Q7058471,1973 Assembly election,9
,,William Mitchell,Q215519,Democratic Unionist Party,1992.98,Q7058471,1973 Assembly election,10
,,David Brien,Q327591,Independent (politician),396,Q7058471,1973 Assembly election,11
